,occ_code,occ_title,occ_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
0,00-0000,all occupations,total,"142,549,250",0.1,24.34,"50,620",0.1,9.6,11.91,18.12,29.38,46.23,"19,970","24,770","37,690","61,110","96,150",,
1,11-0000,management occupations,major,"7,280,330",0.2,57.65,"119,910",0.1,23.19,33.6,49.32,71.83,#,"48,220","69,880","102,590","149,410",#,,
2,11-1000,top executives,minor,"2,473,740",0.3,61.55,"128,020",0.2,20.74,31.74,49.58,78.72,#,"43,140","66,030","103,120","163,740",#,,
3,11-1010,chief executives,broad,"210,160",0.7,94.25,"196,050",0.4,32.74,54.55,88.11,#,#,"68,110","113,470","183,270",#,#,,
5,11-1020,general and operations managers,broad,"2,212,200",0.3,59.35,"123,460",0.2,21.4,31.53,48.27,75.28,#,"44,510","65,590","100,410","156,580",#,,
7,11-1030,legislators,broad,"51,380",1.3,*,"46,350",1,*,*,*,*,*,"17,480","18,860","25,630","70,130","97,510",TRUE,
9,11-2000,"advertising, marketing, promotions, public relations, and sales managers",minor,"685,780",0.5,66.66,"138,650",0.3,29.1,41.13,59.19,82.51,#,"60,530","85,560","123,100","171,630",#,,
10,11-2010,advertising and promotions managers,broad,"28,100",2.6,59.56,"123,880",1.5,23.15,34.47,51.03,74.89,#,"48,150","71,690","106,130","155,760",#,,
12,11-2020,marketing and sales managers,broad,"590,380",0.5,67.6,"140,600",0.3,29.45,41.73,60.24,83.93,#,"61,250","86,810","125,290","174,570",#,,
13,11-2021,marketing managers,detailed,"218,970",0.8,70.01,"145,620",0.4,32.93,45.25,63.57,86.57,#,"68,490","94,110","132,230","180,070",#,,
14,11-2022,sales managers,detailed,"371,410",0.6,66.18,"137,650",0.3,27.69,39.66,58.2,82.11,#,"57,590","82,490","121,060","170,790",#,,
15,11-2030,public relations and fundraising managers,broad,"67,300",1.1,61.39,"127,690",0.6,29.39,39.19,53.5,74.92,#,"61,130","81,510","111,280","155,830",#,,
17,11-3000,operations specialties managers,minor,"1,752,130",0.3,62.24,"129,450",0.2,30.6,40.62,55.62,75.56,#,"63,660","84,490","115,700","157,160",#,,
18,11-3010,administrative services managers,broad,"270,100",0.6,49.7,"103,380",0.3,25.36,33.46,45.2,60.25,78.6,"52,750","69,590","94,020","125,310","163,480",,
20,11-3020,computer and information systems managers,broad,"365,690",0.8,71.99,"149,730",0.4,40.32,51.8,66.93,84.56,#,"83,860","107,740","139,220","175,890",#,,
22,11-3030,financial managers,broad,"569,380",0.6,69.01,"143,530",0.3,31.96,43.11,60.14,83.62,#,"66,480","89,670","125,080","173,920",#,,
