,value,occ_title,Unnamed: 0,occ_code,occ_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly,class
0,10.0,chief executives and legislators,,,,,,,,,,,,,,,,,,,,,
1,20.0,general and operations managers,5.0,11-1020,broad,"2,212,200",0.3,59.35,"123,460",0.2,21.40,31.53,48.27,75.28,#,"44,510","65,590","100,410","156,580",#,,,High Income
2,40.0,advertising and promotions managers,10.0,11-2010,broad,"28,100",2.6,59.56,"123,880",1.5,23.15,34.47,51.03,74.89,#,"48,150","71,690","106,130","155,760",#,,,High Income
3,50.0,marketing and sales managers,12.0,11-2020,broad,"590,380",0.5,67.60,"140,600",0.3,29.45,41.73,60.24,83.93,#,"61,250","86,810","125,290","174,570",#,,,High Income
4,60.0,public relations and fundraising managers,15.0,11-2030,broad,"67,300",1.1,61.39,"127,690",0.6,29.39,39.19,53.50,74.92,#,"61,130","81,510","111,280","155,830",#,,,High Income
5,100.0,administrative services managers,18.0,11-3010,broad,"270,100",0.6,49.70,"103,380",0.3,25.36,33.46,45.20,60.25,78.60,"52,750","69,590","94,020","125,310","163,480",,,High Income
6,110.0,computer and information systems managers,20.0,11-3020,broad,"365,690",0.8,71.99,"149,730",0.4,40.32,51.80,66.93,84.56,#,"83,860","107,740","139,220","175,890",#,,,High Income
7,120.0,financial managers,22.0,11-3030,broad,"569,380",0.6,69.01,"143,530",0.3,31.96,43.11,60.14,83.62,#,"66,480","89,670","125,080","173,920",#,,,High Income
8,135.0,compensation and benefits managers,30.0,11-3110,broad,"15,520",1.6,62.50,"130,010",0.7,32.94,43.15,57.27,76.03,97.40,"68,510","89,750","119,120","158,130","202,590",,,High Income
9,136.0,human resources managers,32.0,11-3120,broad,"136,310",0.6,59.38,"123,510",0.3,31.27,40.02,52.94,71.79,95.06,"65,040","83,230","110,120","149,330","197,720",,,High Income
10,137.0,training and development managers,34.0,11-3130,broad,"34,500",1.4,56.58,"117,690",0.5,28.45,38.34,52.05,69.19,90.22,"59,170","79,740","108,250","143,920","187,670",,,High Income
11,140.0,industrial production managers,24.0,11-3050,broad,"171,520",0.6,53.16,"110,580",0.3,29.50,37.48,48.36,62.89,81.15,"61,360","77,970","100,580","130,820","168,780",,,High Income
12,150.0,purchasing managers,26.0,11-3060,broad,"70,430",0.8,58.56,"121,810",0.4,32.04,41.67,55.65,70.57,87.87,"66,630","86,670","115,760","146,780","182,780",,,High Income
13,160.0,"transportation, storage, and distribution managers",28.0,11-3070,broad,"118,680",1.1,48.43,"100,740",0.4,26.10,33.84,44.45,58.21,75.34,"54,300","70,380","92,460","121,080","156,710",,,Middle Income
14,205.0,"farmers, ranchers, and other agricultural managers",37.0,11-9010,broad,"4,610",6.0,38.62,"80,320",2.6,17.00,23.38,33.47,47.69,65.34,"35,360","48,620","69,620","99,200","135,900",,,Middle Income
15,220.0,construction managers,39.0,11-9020,broad,"263,480",0.9,48.56,"101,000",0.4,26.35,33.40,43.93,58.45,76.71,"54,810","69,470","91,370","121,570","159,560",,,Middle Income
16,230.0,education administrators,41.0,11-9030,broad,"477,750",0.6,45.80,"95,270",0.5,22.93,31.87,42.74,56.01,71.72,"47,690","66,300","88,890","116,490","149,180",,,Middle Income
17,300.0,architectural and engineering managers,46.0,11-9040,broad,"179,990",1.0,70.33,"146,290",0.4,42.33,53.04,66.21,81.55,#,"88,050","110,330","137,720","169,620",#,,,High Income
18,310.0,food service managers,48.0,11-9050,broad,"208,110",1.6,27.52,"57,250",0.6,14.35,18.64,25.02,33.04,43.41,"29,850","38,770","52,030","68,720","90,290",,,Middle Income
19,330.0,gaming managers,52.0,11-9070,broad,"4,420",3.3,40.12,"83,460",1.1,22.13,27.42,35.06,45.90,62.27,"46,040","57,040","72,930","95,480","129,520",,,Middle Income
